EventCategoryId,Code,IsCritical,Description,Id,PriorityLevelId,SuppressionDurationSec
1,Intrusion_Line-crossing,False,Intrusion (Line-crossing) - การบุกรุก (บุคคลภายนอกเข้าในพื้นที่หวงห้าม),23,3,
1,Loitering,False,Loitering - การอยู่ในพื้นที่โดยไม่มีจุดประสงค์,24,3,
1,Lost_and_Found_Items,False,Lost & Found Items - ทรัพย์สินสูญหายและหาพบ,25,3,
1,Lost_Person,False,Lost Person - คนหาย,26,3,
1,Medical_Assistance_Major-Ambulance,False,Medical Assistance (Major - Ambulance) - ความช่วยเหลือทางการแพทย์ (กรณีฉุกเฉิน-รถพยาบาล),27,2,
1,Medical_Assistance_Minor-First_Aid,False,Medical Assistance (Minor - First Aid) - ความช่วยเหลือทางการแพทย์ (กรณีเล็กน้อย-การปฐมพยาบาล),28,3,
1,Noise_Disturbance,False,Noise Disturbance - การรบกวนทางเสียง,29,3,
1,Overcrowding_Alert,False,Overcrowding Alert - การแจ้งเตือนความแออัด,30,2,
1,Public_Announcement_PA_System,False,Public Announcement (PA System) - ประกาศสาธารณะ (ระบบ PA),31,3,
1,Traffic_Control_and_Road_Closures,False,Traffic Control and Road Closures - การควบคุมการจราจร/การปิดถนน,32,3,
1,Safety_Concern,False,Safety Concern - ตรวจพบปัญหาด้านความปลอดภัย,33,3,
1,Shuttle_Bus_Service,False,Shuttle Bus Service - บริการรถรับ-ส่ง,34,3,
1,Smoke_Detection,True,Smoke Detection - อุปกรณ์ตรวจจับควัน,35,1,
1,Suspicious_Object,False,Suspicious Object - วัตถุต้องสงสัย,36,2,
1,Suspicious_Person_or_Vehicle,False,Suspicious Person or Vehicle - บุคคล/ยานพาหนะต้องสงสัย,37,2,
1,Theft_or_Robbery,False,Theft or Robbery - การโจรกรรม/การปล้น,38,2,
1,Traffic_Congestion,False,Traffic Congestion - การจราจรติดขัด,39,3,
1,Trapped_in_Toilet,False,Trapped in Toilet - ติดอยู่ในห้องน้ำ,40,3,
1,Unattended_Object,False,Unattended Object - วัตถุไม่มีเจ้าของ,41,3,
1,Unauthorized_Entry,False,Unauthorized Entry - เข้ามาโดยไม่ได้รับอนุญาต,42,3,
1,Unauthorized_Parking,False,Unauthorized Parking - จอดรถโดยไม่ได้รับอนุญาต,43,3,
1,Vandalism,False,Vandalism - การก่อกวน,44,3,
1,Vehicle_Accident_Injury,False,Vehicle Accident (Injury) - อุบัติเหตุทางรถยนต์ (มีผู้บาดเจ็บ),45,2,
1,Vehicle_Accident_No_Injury,False,Vehicle Accident (No Injury) - อุบัติเหตุทางรถยนต์ (ไม่มีผู้บาดเจ็บ),46,3,
1,Vehicle_Breakdown,False,Vehicle Breakdown - รถเสีย,47,3,
1,Vehicle_Going_Wrong_Direction,False,Vehicle Going Wrong Direction - ยานพาหนะไปผิดทิศทาง,48,3,
1,Visitor_Access,False,Visitor Access - การเข้าออกอาคารของผู้มาติดต่อ,49,3,
1,Wild_Animal_Injury,False,Wild Animal (Injury) - มีสัตว์ป่าอยู่ในพื้นที่ (ทำร้ายผู้อื่นจนได้รับบาดเจ็บ),50,2,
1,Wild_Animal_No_Injury,False,Wild Animal (No Injury) - มีสัตว์ป่าอยู่ในพื้นที่ (ไม่มีการทำร้ายผู้อื่น),51,3,
2,Aircon_Leak,False,Aircon Leak - น้ำแอร์รั่ว,58,3,
2,Aircon_Temperature_Hot_Cold,False,"Aircon Temperature (Hot, Cold) - อุณหภูมิเครื่องปรับอากาศ (ร้อน, เย็น)",59,3,
2,Audio_Visual_System_Fault,False,Audio Visual System Fault - ระบบเสียงและภาพผิดปกติ,60,3,
2,Bad_Odour,False,Bad Odour - กลิ่นไม่พึงประสงค์,61,3,
2,Chilled_Water_Supply_Fault_Alarm,False,Chilled Water Supply Fault Alarm,62,2,
2,Cleaning_Required,False,Cleaning Required - ต้องการให้ทำความสะอาด,63,3,
2,Clogged_Air_Filters,False,Clogged Air Filters - แอร์ฟิลเตอร์อุดตัน,64,3,
2,Clogged_Drainage,False,Clogged Drainage - ท่อระบายน้ำอุดตัน,65,3,
2,Fuel_Supply_Pump,False,Fuel Supply Pump - ปั้มน้ำมันเชื้อเพลิง,66,3,
2,Fuel_Tank_Alarm,False,Fuel Tank Alarm,67,3,
2,Electrical_Overload,False,Electrical Overload - กระแสไฟฟ้าเกินพิกัด,68,3,
2,Electrical_Shock,False,Electrical Shock - ไฟฟ้าลัดวงจร,69,3,
2,Electrical_Sparks,False,Electrical Sparks - เกิดประกายไฟจากระบบไฟฟ้า,70,3,
2,Electrical_Hazards,False,Electrical Hazards - อันตรายที่เกี่ยวกับไฟฟ้า,71,3,
2,Elevator_Overload_Status,False,Elevator Overload Status - สถานะลิฟต์บรรทุกเกิน,72,4,
2,Elevator_Breakdown_Alarm,False,Elevator Breakdown Alarm - ลิฟท์หยุดทำงาน,73,3,
2,Elevator_Fireman_Mode,False,Elevator Fireman Mode - โหมดใช้ลิฟต์กรณีมีเหตุเพลิงไหม้,74,3,
2,Elevator_Fire_Operation,False,Elevator Fire Operation - ปฏิบัติการดับเพลิงลิฟต์,75,2,
2,Emergency_and_Exit_Lights_Faults,False,Emergency and Exit Lights Faults - ไฟฉุกเฉินและไฟทางออกผิดปกติ,76,3,
2,Equipment_High_Temperature,False,Equipment High Temperature - อุปกรณ์อุณหภูมิสูง,77,3,
2,Fallen_Object_No_Injury,False,Fallen Object (No Injury) - วัตถุตกลงมา (ไม่มีผู้บาดเจ็บ),78,3,
2,Fallen_Object_Injury,False,Falling Object (Injury) - วัตถุตกลงมา (มีผู้บาดเจ็บ),79,2,
2,Fallen_Tree_Injury,False,Fallen Tree (Injury) - ต้นไม้ล้ม (บาดเจ็บ),80,2,
2,Fallen_Tree_Obstruction,False,Fallen Tree (Obstruction) - ต้นไม้ล้ม (กีดขวาง),81,2,
2,Fire_Equipment_Damaged_Hosereel_Hydrant_Panels,False,"Fire Equipment Damaged (Hosereel, Hydrant, Panels) - อุปกรณ์ดับเพลิงเสียหาย (Hosereel, Hydrant, Panels)",82,2,
2,Fire_Exit_Door_Faulty,False,Fire Exit Door Faulty - ประตูหนีไฟผิดปกติ,83,2,
2,Fire_Extinguisher_Defect_or_Expire,False,Fire Extinguisher Defect or Expire - เครื่องดับเพลิงชำรุด/หมดอายุ,84,3,
2,Fire_Suppression_System_Fault_Alarm,False,Fire Suppression System Fault Alarm,85,2,
2,Fire_Suppression_First_Stage_Alarm,False,Fire Suppression First Stage Alarm - สัญญาณเตือนไฟไหม้ขั้นที่หนี่ง,86,2,
2,Fire_Suppression_Second_Stage_Alarm,True,Fire Suppression Second Stage Alarm - สัญญาณเตือนไฟไหม้ขั้นที่สอง,87,1,
2,Fire_Suppression_Discharge,True,Fire Suppression Discharge,88,1,
2,Flooding_District_Component,True,"Flooding (District, Component) - น้ำท่วม (พื้นที่ทั้งหมด, หรือเป็นวงกว้าง)",89,1,
2,Flooding_Floor,False,Flooding (Floor) - น้ำท่วม (ชั้น),90,2,
2,Flooding_Space,False,Flooding (Space) - น้ำท่วม (พื้นที่บางส่วน),91,3,
2,Gas_System_Faulty,False,Gas System Faulty,92,3,
2,Gas_Leak,True,Gas Leak - ก๊าซรั่ว,93,1,
2,Generator_System_Alarm,False,Generator System Alarm - ปัญหาที่เกี่ยวกับแหล่งกำเนิดพลังง,94,3,
2,High_or_Incorrect_Electricity_Usage,False,High or Incorrect Electricity Usage - การใช้กระแสไฟฟ้าสูงผิดปกติ,95,4,
2,HVAC_Trip_Breaker_Alarm,False,HVAC Trip Breaker Alarm - สัญญาณเตือนการตัดทริป HVAC,96,3,
2,HVAC_Smoke_Detection,True,HVAC Smoke Detection - การตรวจจับควัน HVAC,97,1,
2,HVAC_Clogged_Air_Filters,False,HVAC Clogged Air Filters - ฟิลเตอร์ HVAC อุดตัน,98,3,
2,HVAC_Trouble_Alarm,False,HVAC Trouble Alarm - สัญญาณเตือนปัญหา HVAC,99,3,
2,Improper_Rubbish_Dumping,False,Improper Rubbish Dumping - การทิ้งขยะที่ไม่เหมาะสม,100,3,
2,Landscape-Plant_Issues,False,Landscape - Plant Issues - ปัญหาพืชภูมิทัศน์,101,3,
2,Landscape-Plant_Overgrowth,False,Landscape - Plant Overgrowth - ภูมิทัศน์ - พืชขึ้นรก,102,3,
2,Lighting_Device_Offline,False,Lighting Device Offline - อุปกรณ์ให้แสงสว่างออฟไลน์,103,4,
2,Lighting_Faulty_Indoor,False,Lighting Faulty (Indoor) - ไฟส่องสว่างผิดปกติ (ในอาคาร),104,3,
2,Lighting_Faulty_Outdoor,False,Lighting Faulty (Outdoor) - ไฟส่องสว่างผิดปกติ (นอกอาคาร),105,3,
2,Mould_Growth,False,Mould Growth - พบเชื้อรา,106,3,
2,Office_Gantry_Alarm,False,Office Gantry Alarm - สัญญาณเตือนภัยในสำนักงาน,107,3,
2,Pest_Infestation,False,Pest Infestation - การระบาดของศัตรูพืช,108,3,
2,Petrol_Leak,False,Petrol Leak - น้ำมันรั่ว,109,3,
2,Pipe_Corrosion,False,Pipe Corrosion - ท่อสึกกร่อน,110,3,
2,Poor_Air_Quality,False,Poor Air Quality - คุณภาพอากาศไม่ดี,111,3,
2,Power_Outage_District_Component,True,"Power Outage (District, Component) - ไฟฟ้าดับ (พื้นที่ทั้งหมด, เป็นวงกว้าง)",112,1,
2,Power_Outage_Floor,False,Power Outage (Floor) - ไฟฟ้าดับ (ชั้น),113,2,
2,Power_Outage_Space,False,Power Outage (Space) - ไฟฟ้าดับ (บางพื้นที่),114,3,
2,Power_Supply_Issue,False,Power Supply Issue - ปัญหาพาวเวอร์ซัพพลาย,115,3,
2,Power_Socket_Faulty,False,Power Socket Faulty - ปลั๊กไฟผิดปกติ,116,3,
2,Property_Damage-Barriers_Bollards,False,"Property Damage - Barriers, Bollards - ความเสียหายต่อทรัพย์สิน - แผงกั้น, เสากั้นทางเดิน",117,3,
2,Property_Damage-Ceiling,False,Property Damage - Ceiling - ความเสียหายต่อทรัพย์สิน - เพดาน,118,3,
2,Property_Damage-Door_or_Door_Handle,False,Property Damage - Door or Door Handle - ความเสียหายต่อทรัพย์สิน - ประตูหรือมือจับประตู,119,3,
2,Property_Damage-Furniture,False,Property Damage - Furniture - ความเสียหายต่อทรัพย์สิน - เฟอร์นิเจอร์,120,3,
2,Property_Damage-Painting,False,Property Damage - Painting - ความเสียหายต่อทรัพย์สิน - การทาสี,121,3,
2,Property_Damage-Railings_Fence,False,"Property Damage - Railings, Fence - ความเสียหายต่อทรัพย์สิน - ราวกันตก, รั้ว",122,3,
2,Property_Damage-Roller_Shutters,False,Property Damage - Roller Shutters - ความเสียหายต่อทรัพย์สิน - ประตูม้วน,123,3,
2,Property_Damage-Structural,False,Property Damage - Structural - ความเสียหายต่อทรัพย์สิน - โครงสร้าง,124,3,
